"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-01","2016","01","01","","-5.8","","-12.0","","-8.9","","26.9","","0.0","","","M","","M","0.0","","20","","20","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-02","2016","01","02","","-2.3","","-13.3","","-7.8","","25.8","","0.0","","","M","","M","0.0","","20","","33","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-03","2016","01","03","","-6.0","","-15.8","","-10.9","","28.9","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-04","2016","01","04","","-5.2","","-14.9","","-10.1","","28.1","","0.0","","","M","","M","0.0","","20","","19","","56",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-05","2016","01","05","","-5.8","","-15.6","","-10.7","","28.7","","0.0","","","M","","M","0.0","","20","","20","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-06","2016","01","06","","-10.5","","-18.0","","-14.3","","32.3","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-07","2016","01","07","","-8.2","","-15.0","","-11.6","","29.6","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-08","2016","01","08","","-8.1","","-23.5","","-15.8","","33.8","","0.0","","","M","","M","0.6","","20","","36","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-09","2016","01","09","","-23.2","","-29.4","","-26.3","","44.3","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-10","2016","01","10","","-23.0","","-29.7","","-26.4","","44.4","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-11","2016","01","11","","-19.2","","-28.2","","-23.7","","41.7","","0.0","","","M","","M","1.0","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-12","2016","01","12","","-20.7","","-28.3","","-24.5","","42.5","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-13","2016","01","13","","-17.8","","-26.3","","-22.1","","40.1","","0.0","","","M","","M","0.2","","21","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-14","2016","01","14","","-18.9","","-25.5","","-22.2","","40.2","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-15","2016","01","15","","-20.0","","-28.0","","-24.0","","42.0","","0.0","","","M","","M","0.0","","21","","35","","39",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-16","2016","01","16","","-22.9","","-29.1","","-26.0","","44.0","","0.0","","","M","","M","0.0","","20","","32","","39",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-17","2016","01","17","","-19.8","","-32.3","","-26.1","","44.1","","0.0","","","M","","M","0.2","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-18","2016","01","18","","-17.7","","-23.5","","-20.6","","38.6","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-19","2016","01","19","","-13.0","","-23.4","","-18.2","","36.2","","0.0","","","M","","M","0.0","","19","","16","","44",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-20","2016","01","20","","-9.3","","-14.8","","-12.1","","30.1","","0.0","","","M","","M","0.2","","20","","17","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-21","2016","01","21","","-11.0","","-22.4","","-16.7","","34.7","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-22","2016","01","22","","-8.8","","-20.8","","-14.8","","32.8","","0.0","","","M","","M","0.2","","19","","17","","69",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-23","2016","01","23","","-4.8","","-9.9","","-7.4","","25.4","","0.0","","","M","","M","0.9","","19","","19","","61",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-24","2016","01","24","","-6.3","","-11.8","","-9.1","","27.1","","0.0","","","M","","M","0.0","","19","","35","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2016-01-25","2016","01","25","","-4.7","","-7.6","","-6.2","","24.2","","0.0","","","M","","M","1.2","","20","","32","","32",""
