"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-01","2017","01","01","","-7.3","","-15.0","","-11.2","","29.2","","0.0","","","M","","M","0.0","","25","","33","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-02","2017","01","02","","-12.9","","-17.5","","-15.2","","33.2","","0.0","","","M","","M","0.8","","25","","36","","59",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-03","2017","01","03","","-17.5","","-27.2","","-22.4","","40.4","","0.0","","","M","","M","1.1","","24","","1","","59",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-04","2017","01","04","","-24.4","","-31.9","","-28.2","","46.2","","0.0","","","M","","M","0.2","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-05","2017","01","05","","-22.5","","-30.9","","-26.7","","44.7","","0.0","","","M","","M","0.2","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-06","2017","01","06","","-15.8","","-26.6","","-21.2","","39.2","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-07","2017","01","07","","-18.0","","-26.5","","-22.3","","40.3","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-08","2017","01","08","","-15.6","","-25.4","","-20.5","","38.5","","0.0","","","M","","M","0.0","","23","","18","","44",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-09","2017","01","09","","-15.3","","-24.1","","-19.7","","37.7","","0.0","","","M","","M","0.9","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-10","2017","01","10","","-15.2","","-24.2","","-19.7","","37.7","","0.0","","","M","","M","0.7","","30","","31","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-11","2017","01","11","","-20.1","","-32.5","","-26.3","","44.3","","0.0","","","M","","M","0.2","","30","","19","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-12","2017","01","12","","-15.5","","-30.7","","-23.1","","41.1","","0.0","","","M","","M","1.2","","35","","31","","85",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-13","2017","01","13","","-18.7","","-32.7","","-25.7","","43.7","","0.0","","","M","","M","0.0","","41","","17","","57",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-14","2017","01","14","","-13.1","","-23.9","","-18.5","","36.5","","0.0","","","M","","M","0.0","","29","","18","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-15","2017","01","15","","-6.5","","-17.1","","-11.8","","29.8","","0.0","","","M","","M","0.0","","28","","20","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-16","2017","01","16","","-6.3","","-15.6","","-11.0","","29.0","","0.0","","","M","","M","0.0","","28","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-17","2017","01","17","","-4.8","","-16.0","","-10.4","","28.4","","0.0","","","M","","M","0.0","","28","","18","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-18","2017","01","18","","0.3","","-8.9","","-4.3","","22.3","","0.0","","","M","","M","0.0","","28","","17","","48",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-19","2017","01","19","","-1.3","","-4.7","","-3.0","","21.0","","0.0","","","M","","M","0.0","","29","","18","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-20","2017","01","20","","2.4","","-1.3","","0.6","","17.4","","0.0","","","M","","M","2.9","","30","","18","","44",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-21","2017","01","21","","2.0","","0.9","","1.5","","16.5","","0.0","","","M","","M","0.2","","27","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-22","2017","01","22","","1.3","","-0.1","","0.6","","17.4","","0.0","","","M","","M","1.7","","26","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-23","2017","01","23","","-0.1","","-3.2","","-1.7","","19.7","","0.0","","","M","","M","0.3","","24","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-24","2017","01","24","","","M","-3.7","E","","M","","M","","M","","M","","M","","M","24","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-25","2017","01","25","","-5.4","","-12.0","","-8.7","","26.7","","0.0","","","M","","M","0.0","","26","","32","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-26","2017","01","26","","-6.4","","-12.0","","-9.2","","27.2","","0.0","","","M","","M","0.0","","27","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-27","2017","01","27","","-2.6","","-13.2","","-7.9","","25.9","","0.0","","","M","","M","0.0","","28","","35","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-28","2017","01","28","","-5.0","","-8.4","","-6.7","","24.7","","0.0","","","M","","M","0.0","","28","","4","","37",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-29","2017","01","29","","-8.4","","-15.8","","-12.1","","30.1","","0.0","","","M","","M","0.2","","28","","2","","39",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-30","2017","01","30","","-2.2","","-8.5","","-5.4","","23.4","","0.0","","","M","","M","2.5","","28","","19","","37",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-01-31","2017","01","31","","-2.0","","-21.1","","-11.6","","29.6","","0.0","","","M","","M","0.4","","30","","1","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2017-02-01","2017","02","01","","-15.5","","-23.2","","-19.4","","37.4","","0.0","","","M","","M","0.2","","28","","31","","41",""
